# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	1531
#@/user_id	d379290b-ffe7-4db1-8ec0-ecbfd66e25eb
a 	啊	c=3 d=1.69003 t=1531
ri 	日	c=1 d=0.951229 t=1531
rong yao 	榮耀	c=1 d=0.985112 t=1531
ru ci 	如此	c=1 d=0.995012 t=1531
ru guo 	如果	c=7 d=4.05774 t=1531
ru he 	如何	c=13 d=5.08233 t=1531
ru ma 	辱罵	c=1 d=0.718924 t=1531
ruan ruo 	軟弱	c=4 d=1.84055 t=1531
rui 	銳	c=2 d=1.96536 t=1531
ruo 	弱	c=1 d=0.814647 t=1531
sa 	撒	c=3 d=1.64355 t=1531
sa mu er 	撒母耳	c=1 d=0.814647 t=1531
shang 	上	c=11 d=6.74153 t=1531
shang di 	上帝	c=7 d=4.19705 t=1531
she 	舍	c=1 d=0.960789 t=1531
she li 	設立	c=1 d=0.882497 t=1531
she me 	什麼	c=25 d=9.28216 t=1531
shen 	神	c=17 d=8.28154 t=1531
shen chu 	深觸	c=2 d=1.95084 t=1531
shen de 	神的	c=2 d=1.43797 t=1531
shen ti 	身體	c=3 d=2.32964 t=1531
shen zhi 	甚至	c=1 d=0.535261 t=1531
sheng 	生	c=2 d=1.81897 t=1531
sheng huo 	生活	c=2 d=1.57427 t=1531
sheng jing 	聖經	c=5 d=3.07446 t=1531
sheng ling 	聖靈	c=2 d=1.72316 t=1531
sheng ming 	生命	c=4 d=2.3812 t=1531
sheng sheng shi shi 	生生世世	c=0 d=0.0995012 t=1531
sheng zhi 	聖旨	c=1 d=0.532592 t=1531
shi 	使	c=3 d=2.18771 t=1531
shi 	十	c=3 d=2.70067 t=1531
shi 	士	c=1 d=0.831104 t=1531
shi 	屎	c=1 d=0.99005 t=1531
shi 	師	c=1 d=0.83527 t=1531
shi 	是	c=24 d=8.25822 t=1531
shi 	時	c=2 d=1.21373 t=1531
shi bu shi 	是不是	c=1 d=0.955997 t=1531
shi chang 	時常	c=1 d=0.88692 t=1531
shi dai 	時代	c=1 d=0.843665 t=1531
shi guo 	試過	c=1 d=0.802519 t=1531
shi he 	適合	c=1 d=0.71177 t=1531
shi jie 	世界	c=6 d=3.95994 t=1531
shi ni 	是你	c=5 d=4.49206 t=1531
shi pian 	詩篇	c=1 d=0.913931 t=1531
shi shang 	世上	c=1 d=0.71177 t=1531
shi shen me 	是什麼	c=1 d=0.65377 t=1531
shi xing 	實行	c=1 d=0.878095 t=1531
shi zi jia 	十字架	c=2 d=0.99507 t=1531
shou 	手	c=2 d=1.51155 t=1531
shou 	首	c=1 d=0.496585 t=1531
shou zhong 	受衆	c=1 d=0.729789 t=1531
shou zhong 	手中	c=1 d=0.677057 t=1531
shu 	書	c=5 d=3.88525 t=1531
shu 	述	c=1 d=0.923116 t=1531
shu ling 	屬靈	c=2 d=1.46617 t=1531
shuai tui 	衰退	c=1 d=0.865022 t=1531
shui 	誰	c=8 d=6.23297 t=1531
shui shou 	水手	c=1 d=1 t=1531
shun 	順	c=3 d=1.26624 t=1531
shun fu 	順服	c=18 d=8.39407 t=1531
shuo 	說	c=4 d=2.80889 t=1531
si xiang 	思想	c=1 d=0.826959 t=1531
sui bian 	隨便	c=0 d=0.0980199 t=1531
suo 	所	c=1 d=0.582748 t=1531
suo yi 	所以	c=1 d=0.771052 t=1531
suo you 	所有	c=3 d=2.35233 t=1531
suo zuo 	所做	c=1 d=0.790571 t=1531
ta 	他	c=1 d=0.882497 t=1531
ta men 	他們	c=5 d=3.73618 t=1531
tai 	太	c=1 d=0.985112 t=1531
tang 	堂	c=1 d=0.763379 t=1531
te zhi 	特質	c=2 d=1.58414 t=1531
ti 	題	c=2 d=1.30986 t=1531
ti dao 	提到	c=1 d=0.529935 t=1531
ti liang 	體諒	c=2 d=1.13243 t=1531
ti tie 	體貼	c=2 d=1.68325 t=1531
ti xu 	體恤	c=1 d=0.818731 t=1531
tian 	天	c=6 d=3.9021 t=1531
tian fu 	天父	c=1 d=0.882497 t=1531
tian shang 	天上	c=1 d=0.955997 t=1531
ting 	聽	c=2 d=1.5599 t=1531
tong xiao 	通宵	c=1 d=0.980199 t=1531
tong xin 	同心	c=2 d=1.43034 t=1531
tou 	頭	c=3 d=2.01278 t=1531
tou kui 	頭盔	c=1 d=0.946485 t=1531
wa wa 	瓦瓦	c=1 d=1.0797 t=1531
wai biao 	外表	c=2 d=1.41511 t=1531
wan 	萬	c=1 d=0.856415 t=1531
wang dao 	王道	c=1 d=0.759572 t=1531
wang wang wang wang wang 	汪汪汪汪汪	c=0 d=0.197521 t=1531
